MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
25.70,Male,0.00,No,No,10.00,No,No internet service,Two year,No,No
56.00,Female,0.00,No,Yes,13.00,DSL,Yes,Month-to-month,Yes,No
82.40,Female,0.00,Yes,No,20.00,Fiber optic,No,Month-to-month,No,Yes
69.70,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,No
73.90,Male,0.00,No,No,53.00,DSL,Yes,Two year,Yes,No
20.60,Female,0.00,Yes,Yes,11.00,No,No internet service,One year,No,No
19.90,Male,0.00,Yes,No,69.00,No,No internet service,Two year,No,No
70.90,Female,0.00,No,No,4.00,Fiber optic,No,Month-to-month,Yes,Yes
89.05,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,Yes,No
45.30,Male,1.00,Yes,No,58.00,DSL,Yes,Month-to-month,Yes,Yes
20.40,Female,0.00,Yes,Yes,16.00,No,No internet service,Month-to-month,No,No
84.25,Male,0.00,Yes,No,43.00,Fiber optic,No,One year,Yes,No
104.40,Female,0.00,Yes,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
81.95,Male,0.00,Yes,No,14.00,DSL,Yes,Two year,No,No
94.85,Female,0.00,Yes,No,53.00,Fiber optic,No,One year,Yes,Yes
20.55,Female,0.00,No,No,32.00,No,No internet service,One year,No,No
24.70,Female,0.00,Yes,No,34.00,No,No internet service,Month-to-month,No,No
74.45,Female,1.00,No,No,15.00,Fiber optic,No,Month-to-month,Yes,Yes
76.45,Female,1.00,No,No,7.00,Fiber optic,No,Month-to-month,No,Yes
105.35,Female,0.00,Yes,Yes,15.00,Fiber optic,Yes,Month-to-month,Yes,No
20.55,Male,0.00,Yes,No,61.00,No,No internet service,One year,Yes,No
29.95,Female,0.00,No,No,1.00,DSL,Yes,Month-to-month,No,Yes
45.30,Female,0.00,No,No,1.00,DSL,No,Month-to-month,No,No
84.50,Male,0.00,No,No,8.00,Fiber optic,No,Month-to-month,No,Yes
74.75,Male,0.00,Yes,Yes,33.00,DSL,No,One year,No,No
79.25,Female,0.00,No,No,13.00,Fiber optic,Yes,Month-to-month,Yes,Yes
24.80,Female,0.00,Yes,No,1.00,DSL,No,Month-to-month,Yes,Yes
51.80,Male,0.00,No,No,20.00,DSL,Yes,Month-to-month,Yes,No
30.40,Male,0.00,No,No,3.00,DSL,No,Month-to-month,No,No
19.65,Female,0.00,No,No,13.00,No,No internet service,One year,No,No
56.60,Female,0.00,Yes,No,40.00,DSL,Yes,Month-to-month,No,No
71.90,Male,0.00,Yes,Yes,43.00,DSL,No,One year,Yes,No
91.00,Male,0.00,Yes,No,6.00,Fiber optic,Yes,Month-to-month,Yes,Yes
19.75,Female,0.00,Yes,Yes,69.00,No,No internet service,Two year,No,No
109.70,Female,0.00,Yes,Yes,72.00,Fiber optic,Yes,Two year,No,No
19.30,Male,0.00,Yes,Yes,59.00,No,No internet service,Two year,No,No
96.55,Female,0.00,Yes,No,20.00,Fiber optic,Yes,Month-to-month,Yes,No
24.10,Male,0.00,Yes,Yes,24.00,No,No internet service,Two year,Yes,No
111.35,Male,0.00,No,No,59.00,Fiber optic,Yes,Month-to-month,Yes,No
112.25,Male,0.00,Yes,Yes,72.00,Fiber optic,Yes,Two year,Yes,No
20.75,Male,0.00,No,Yes,1.00,No,No internet service,Month-to-month,No,No
101.90,Female,0.00,Yes,No,27.00,Fiber optic,No,One year,Yes,No
80.05,Female,0.00,No,No,14.00,Fiber optic,Yes,Month-to-month,Yes,No
105.55,Male,0.00,Yes,Yes,71.00,Fiber optic,No,Two year,No,No
78.30,Male,0.00,No,Yes,13.00,Fiber optic,No,Month-to-month,Yes,No
68.85,Male,0.00,No,No,44.00,Fiber optic,No,Month-to-month,No,No
79.95,Female,0.00,No,No,33.00,Fiber optic,Yes,One year,Yes,No
55.45,Male,0.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
79.90,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,No,Yes
106.60,Female,0.00,No,No,19.00,Fiber optic,No,Month-to-month,Yes,Yes
102.45,Male,0.00,Yes,No,64.00,Fiber optic,Yes,One year,Yes,No
46.00,Male,0.00,No,No,2.00,DSL,No,Month-to-month,Yes,Yes
25.25,Female,0.00,No,No,1.00,DSL,No,Month-to-month,No,No
19.75,Male,0.00,No,Yes,61.00,No,No internet service,Two year,No,No
20.00,Female,0.00,Yes,Yes,29.00,No,No internet service,One year,No,No
86.80,Male,1.00,Yes,No,23.00,Fiber optic,No,Month-to-month,No,No
58.75,Female,0.00,Yes,No,57.00,DSL,Yes,Month-to-month,Yes,No
45.25,Male,0.00,Yes,Yes,72.00,DSL,Yes,Two year,No,No
56.60,Male,0.00,Yes,No,66.00,DSL,Yes,Two year,Yes,No
84.20,Male,0.00,Yes,Yes,65.00,DSL,Yes,Two year,Yes,No
80.00,Female,0.00,No,No,8.00,Fiber optic,No,Month-to-month,Yes,No
70.15,Female,0.00,No,No,4.00,Fiber optic,No,Month-to-month,Yes,Yes
24.75,Female,0.00,Yes,No,71.00,No,No internet service,Two year,No,No
20.20,Male,0.00,Yes,Yes,1.00,No,No internet service,One year,Yes,No
50.05,Male,0.00,Yes,No,4.00,DSL,No,Month-to-month,No,Yes
19.35,Female,0.00,No,No,12.00,No,No internet service,One year,Yes,No
50.60,Male,0.00,No,No,24.00,DSL,No,One year,Yes,No
81.15,Female,0.00,Yes,Yes,31.00,DSL,No,One year,Yes,No
55.20,Female,0.00,Yes,No,1.00,DSL,No,Month-to-month,No,Yes
89.90,Male,0.00,No,No,30.00,Fiber optic,No,Month-to-month,Yes,No
85.30,Female,0.00,Yes,Yes,47.00,DSL,Yes,Two year,Yes,No
108.00,Male,0.00,No,No,54.00,Fiber optic,Yes,Two year,Yes,No
93.50,Male,0.00,No,No,50.00,Fiber optic,Yes,Month-to-month,Yes,No
84.60,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
20.25,Female,0.00,No,No,72.00,No,No internet service,Two year,No,No
25.15,Female,0.00,No,No,29.00,No,No internet service,Month-to-month,No,No
54.40,Male,0.00,No,No,2.00,DSL,Yes,Month-to-month,Yes,Yes
29.60,Female,0.00,No,No,10.00,DSL,No,Two year,Yes,No
73.15,Male,0.00,Yes,No,18.00,Fiber optic,No,Month-to-month,Yes,No
95.00,Female,1.00,No,No,11.00,Fiber optic,Yes,Month-to-month,Yes,Yes
19.75,Male,0.00,No,No,16.00,No,No internet service,Two year,No,No
86.60,Female,0.00,No,No,72.00,DSL,Yes,Two year,No,No
109.20,Male,0.00,No,No,72.00,Fiber optic,Yes,Two year,No,No
74.70,Female,0.00,Yes,Yes,41.00,DSL,No,One year,Yes,No
94.40,Female,1.00,Yes,No,65.00,Fiber optic,Yes,Month-to-month,No,No
54.80,Female,1.00,No,No,13.00,DSL,Yes,Month-to-month,Yes,No
75.35,Male,1.00,No,No,4.00,Fiber optic,No,Month-to-month,No,No
65.00,Male,0.00,No,No,41.00,DSL,No,One year,No,No
74.40,Male,1.00,No,No,15.00,Fiber optic,Yes,Month-to-month,Yes,Yes
48.55,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,Yes
99.00,Male,0.00,No,No,42.00,Fiber optic,Yes,One year,Yes,No
93.50,Female,0.00,Yes,No,51.00,Fiber optic,Yes,One year,Yes,No
70.40,Female,0.00,Yes,Yes,2.00,Fiber optic,No,Month-to-month,No,Yes
40.20,Male,1.00,Yes,No,1.00,DSL,Yes,Month-to-month,No,Yes
83.70,Male,0.00,No,Yes,32.00,DSL,Yes,One year,No,No
19.85,Male,0.00,No,No,10.00,No,No internet service,Month-to-month,Yes,No
59.55,Female,0.00,Yes,Yes,67.00,DSL,Yes,Two year,Yes,No
115.10,Female,0.00,Yes,Yes,61.00,Fiber optic,Yes,Two year,No,No
114.35,Male,0.00,No,No,50.00,Fiber optic,Yes,One year,No,No
44.60,Female,0.00,Yes,No,2.00,DSL,No,Month-to-month,Yes,Yes
45.00,Female,1.00,Yes,No,29.00,DSL,No,Month-to-month,Yes,No
41.15,Male,1.00,No,No,3.00,DSL,No,Month-to-month,Yes,Yes
106.90,Male,1.00,No,No,13.00,Fiber optic,Yes,Month-to-month,Yes,Yes
89.85,Male,1.00,Yes,No,57.00,Fiber optic,Yes,Month-to-month,Yes,No
49.85,Female,0.00,No,No,31.00,DSL,Yes,Two year,Yes,No
113.30,Female,0.00,Yes,No,45.00,Fiber optic,Yes,One year,No,No
88.10,Female,0.00,Yes,Yes,61.00,DSL,Yes,Two year,No,No
24.90,Male,0.00,No,No,50.00,No,No internet service,Two year,No,No
105.00,Female,1.00,No,No,19.00,Fiber optic,Yes,Month-to-month,Yes,No
19.35,Male,0.00,No,No,59.00,No,No internet service,Two year,No,Yes
24.25,Female,0.00,Yes,No,71.00,No,No internet service,Two year,Yes,No
94.45,Female,1.00,No,No,16.00,Fiber optic,No,Month-to-month,Yes,Yes
59.75,Male,0.00,Yes,No,57.00,DSL,Yes,Two year,Yes,No
24.80,Male,0.00,No,No,1.00,DSL,No,Month-to-month,No,Yes
107.05,Male,1.00,Yes,No,20.00,Fiber optic,Yes,Month-to-month,No,No
70.60,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,No,Yes
85.40,Male,0.00,Yes,No,5.00,Fiber optic,Yes,Month-to-month,Yes,Yes
105.05,Female,0.00,Yes,No,52.00,Fiber optic,Yes,Month-to-month,Yes,Yes
64.95,Male,1.00,Yes,No,21.00,DSL,Yes,Month-to-month,Yes,No
55.00,Male,0.00,No,No,14.00,DSL,No,Month-to-month,Yes,No
50.55,Female,0.00,No,No,5.00,DSL,Yes,Month-to-month,No,No
55.15,Female,0.00,No,No,6.00,DSL,Yes,Month-to-month,No,No
51.20,Female,0.00,No,No,10.00,DSL,Yes,Month-to-month,No,No
25.40,Female,0.00,No,Yes,1.00,No,No internet service,Month-to-month,No,No
54.45,Female,0.00,No,No,68.00,DSL,No,Month-to-month,No,No
95.15,Male,0.00,Yes,Yes,18.00,Fiber optic,No,Month-to-month,No,Yes
76.00,Female,0.00,No,No,22.00,Fiber optic,No,One year,Yes,No
44.35,Female,0.00,No,No,20.00,DSL,No,Month-to-month,Yes,No
70.00,Male,0.00,Yes,No,1.00,Fiber optic,No,Month-to-month,No,Yes
74.50,Male,1.00,No,No,8.00,Fiber optic,Yes,Month-to-month,Yes,Yes
44.85,Male,0.00,No,No,10.00,DSL,No,Month-to-month,Yes,Yes
76.10,Male,1.00,No,No,24.00,Fiber optic,No,Month-to-month,Yes,Yes
61.20,Male,0.00,No,No,35.00,DSL,Yes,One year,No,No
86.80,Male,0.00,Yes,Yes,23.00,Fiber optic,Yes,One year,No,No
89.35,Female,1.00,No,No,6.00,Fiber optic,No,Month-to-month,Yes,No
19.70,Female,0.00,No,No,12.00,No,No internet service,Month-to-month,No,No
20.25,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
76.05,Female,0.00,Yes,Yes,71.00,Fiber optic,No,Two year,No,No
100.80,Male,1.00,Yes,No,35.00,Fiber optic,No,Month-to-month,Yes,No
74.55,Male,0.00,Yes,Yes,40.00,DSL,No,Month-to-month,Yes,No
73.60,Female,0.00,No,Yes,1.00,Fiber optic,No,Month-to-month,Yes,Yes
64.90,Male,0.00,No,No,23.00,DSL,No,One year,Yes,No
95.45,Female,1.00,No,No,4.00,Fiber optic,No,Month-to-month,Yes,Yes
90.40,Male,0.00,No,No,4.00,Fiber optic,No,Month-to-month,Yes,No
60.30,Female,0.00,Yes,Yes,68.00,DSL,Yes,Two year,No,No
81.85,Male,0.00,No,Yes,38.00,Fiber optic,Yes,Month-to-month,Yes,No
24.80,Male,0.00,Yes,Yes,52.00,No,No internet service,Two year,No,No
74.90,Male,1.00,Yes,No,32.00,Fiber optic,No,Month-to-month,Yes,Yes
75.55,Male,0.00,Yes,Yes,29.00,DSL,No,Two year,No,No
101.15,Male,1.00,Yes,Yes,38.00,Fiber optic,Yes,Month-to-month,No,No
78.75,Male,0.00,No,Yes,48.00,DSL,No,One year,Yes,No
19.25,Female,0.00,No,No,1.00,No,No internet service,Month-to-month,Yes,No
89.05,Female,0.00,No,No,22.00,Fiber optic,No,Month-to-month,Yes,No
115.05,Female,0.00,No,No,43.00,Fiber optic,Yes,Two year,No,No
69.35,Female,1.00,Yes,No,5.00,Fiber optic,No,Month-to-month,Yes,No
80.60,Male,0.00,No,No,5.00,Fiber optic,No,Month-to-month,Yes,Yes
110.05,Male,0.00,Yes,Yes,51.00,Fiber optic,Yes,One year,No,No
19.90,Male,0.00,No,No,71.00,No,No internet service,Two year,Yes,No
80.30,Female,0.00,Yes,Yes,38.00,DSL,Yes,One year,No,Yes
93.15,Male,1.00,Yes,No,24.00,Fiber optic,No,Month-to-month,Yes,Yes
91.50,Male,0.00,Yes,No,35.00,Fiber optic,No,Month-to-month,Yes,No
82.45,Female,1.00,No,No,54.00,DSL,Yes,One year,No,Yes
60.00,Female,0.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
44.80,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,No
48.60,Female,0.00,Yes,Yes,9.00,DSL,No,One year,No,No
60.05,Male,0.00,No,No,69.00,DSL,Yes,Two year,Yes,No
102.70,Female,0.00,Yes,No,52.00,Fiber optic,Yes,Month-to-month,Yes,No
82.90,Female,1.00,Yes,No,11.00,Fiber optic,No,Month-to-month,Yes,No
70.35,Female,1.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
35.90,Female,1.00,Yes,Yes,28.00,DSL,No,Month-to-month,Yes,No
82.65,Female,1.00,No,No,17.00,Fiber optic,No,Month-to-month,Yes,No
19.85,Female,0.00,Yes,Yes,35.00,No,No internet service,Two year,Yes,No
19.20,Female,0.00,No,No,8.00,No,No internet service,One year,Yes,No
94.90,Male,0.00,No,No,46.00,Fiber optic,Yes,One year,Yes,No
73.85,Female,0.00,No,No,7.00,Fiber optic,No,Month-to-month,Yes,Yes
80.60,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,No,Yes
75.80,Male,0.00,Yes,Yes,68.00,DSL,Yes,One year,Yes,Yes
104.60,Female,0.00,No,No,43.00,Fiber optic,Yes,Two year,Yes,Yes
88.15,Female,0.00,No,No,68.00,DSL,Yes,Two year,Yes,No
94.80,Female,0.00,No,No,36.00,Fiber optic,Yes,Month-to-month,Yes,No
103.40,Male,0.00,Yes,No,63.00,Fiber optic,Yes,Month-to-month,Yes,Yes
54.65,Female,1.00,No,No,32.00,DSL,Yes,Month-to-month,No,No
85.75,Female,0.00,Yes,No,71.00,DSL,Yes,Two year,No,No
67.45,Female,0.00,Yes,Yes,66.00,DSL,Yes,Month-to-month,Yes,No
20.50,Male,0.00,No,No,63.00,No,No internet service,One year,No,No
20.25,Female,0.00,No,Yes,41.00,No,No internet service,One year,Yes,No
72.10,Female,1.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,No
